Nº;RED;NIVEL;IPRESS;MES;AÑO;INDICADOR;SUB INDICADOR;NUMERADOR;DENOMINADOR
11455;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;JULIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);53;788
11456;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;AGOSTO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);78;1,516
11457;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;SETIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);79;1,070
11458;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;OCTUBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);115;929
11459;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;NOVIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);;1,025
11460;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;DICIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);106;964
11461;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ENERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);116;464
11462;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;FEBRERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);95;612
11463;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MARZO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);125;1,391
11464;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ABRIL;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);120;1,262
11465;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MAYO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);154;1,366
11466;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;JUNIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);111;1,309
11467;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;JULIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);162;1,386
11468;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;AGOSTO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);112;1,510
11469;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;SETIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);255;1,526
11470;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;OCTUBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);208;1,105
11471;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;NOVIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);144;1,808
11472;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;DICIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);192;1,359
11473;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ENERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);121;802
11474;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;FEBRERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);71;742
11475;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MARZO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);127;928
11476;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ABRIL;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);131;718
11477;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MAYO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);142;1,277
11478;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;JUNIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);166;1,090
11479;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;JULIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);196;1,537
11480;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;AGOSTO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);138;700
11481;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;SETIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);189;690
11482;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;OCTUBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);189;1,092
11483;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;NOVIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);224;1,579
11484;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;DICIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);160;1,371
11485;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ENERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);138;3,504
11486;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;FEBRERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);127;3,817
11487;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MARZO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);153;4,917
11488;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ABRIL;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);117;4,641
11489;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MAYO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);141;6,428
11490;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;JUNIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);122;6,545
11491;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;JULIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);110;5,902
11492;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;AGOSTO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);129;5,910
11493;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;SETIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);131;5,626
11494;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;OCTUBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);131;6,720
11495;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;NOVIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);102;5,965
11496;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;DICIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);107;5,930
11497;H REF LA CALETA;II-2;H REF LA CALETA;ENERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);181;1,921
11498;H REF LA CALETA;II-2;H REF LA CALETA;FEBRERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);230;1,972
11499;H REF LA CALETA;II-2;H REF LA CALETA;MARZO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);202;2,562
11500;H REF LA CALETA;II-2;H REF LA CALETA;ABRIL;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);190;2,995
11501;H REF LA CALETA;II-2;H REF LA CALETA;MAYO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);193;3,494
11502;H REF LA CALETA;II-2;H REF LA CALETA;JUNIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);253;3,342
11503;H REF LA CALETA;II-2;H REF LA CALETA;JULIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);289;3,496
11504;H REF LA CALETA;II-2;H REF LA CALETA;AGOSTO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);250;3,561
11505;H REF LA CALETA;II-2;H REF LA CALETA;SETIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);349;3,836
11506;H REF LA CALETA;II-2;H REF LA CALETA;OCTUBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);220;3,916
11507;H REF LA CALETA;II-2;H REF LA CALETA;NOVIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);199;3,781
11508;H REF LA CALETA;II-2;H REF LA CALETA;DICIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);129;1,225
11509;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ENERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);44;1,241
11510;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;FEBRERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);36;1,134
11511;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MARZO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);50;765
11512;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ABRIL;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);44;1,529
11513;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MAYO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);38;961
11514;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;JUNIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);36;696
11515;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;JULIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);39;856
11516;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;AGOSTO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);47;1,260
11517;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;SETIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);37;998
11518;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;OCTUBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);40;791
11519;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;NOVIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);43;876
11520;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;DICIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);31;680
11521;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ENERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);9;833
11522;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;FEBRERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);22;826
11523;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MARZO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);30;1,366
11524;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ABRIL;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);23;966
11525;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MAYO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);37;1,134
11526;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;JUNIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);23;1,090
11527;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;JULIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);38;374
11528;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;AGOSTO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);49;549
11529;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;SETIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);28;495
11530;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;OCTUBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);31;480
11531;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;NOVIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);40;1,190
11532;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;DICIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);26;439
11533;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;ENERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);14;819
11534;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;FEBRERO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);17;884
11535;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;MARZO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);26;720
11536;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;ABRIL;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);29;623
11537;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;MAYO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);27;387
11538;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;JUNIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);29;508
11539;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;JULIO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);21;599
11540;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;AGOSTO;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);32;367
11541;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;SETIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);33;160
11542;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;OCTUBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);31;444
11543;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;NOVIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);32;527
11544;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;DICIEMBRE;2022;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);21;474
11545;DIRES ANCASH;DIRESA;DIRES ANCASH;ENERO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,293;21,348
11546;DIRES ANCASH;DIRESA;DIRES ANCASH;FEBRERO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,464;22,403
11547;DIRES ANCASH;DIRESA;DIRES ANCASH;MARZO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,575;24,421
11548;DIRES ANCASH;DIRESA;DIRES ANCASH;ABRIL;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,258;24,059
11549;DIRES ANCASH;DIRESA;DIRES ANCASH;MAYO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,292;24,463
11550;DIRES ANCASH;DIRESA;DIRES ANCASH;JUNIO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,272;26,938
11551;DIRES ANCASH;DIRESA;DIRES ANCASH;JULIO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,271;26,046
11552;DIRES ANCASH;DIRESA;DIRES ANCASH;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,529;27,063
11553;DIRES ANCASH;DIRESA;DIRES ANCASH;SETIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,958;27,761
11554;DIRES ANCASH;DIRESA;DIRES ANCASH;OCTUBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,337;31,218
11555;DIRES ANCASH;DIRESA;DIRES ANCASH;NOVIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,396;31,538
11556;DIRES ANCASH;DIRESA;DIRES ANCASH;DICIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);1,041;26,568
11557;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ENERO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);68;878
11558;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;FEBRERO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);40;958
11559;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MARZO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);26;1,000
11560;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ABRIL;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);21;951
11561;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MAYO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);35;1,519
11562;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;JUNIO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);26;895
11563;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;JULIO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);24;697
11564;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);30;1,120
11565;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;SETIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);35;772
11566;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;OCTUBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);19;778
11567;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;NOVIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);50;778
11568;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;DICIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);17;778
11569;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ENERO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);98;3,376
11570;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;FEBRERO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);118;3,604
11571;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MARZO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);184;3,864
11572;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ABRIL;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);198;4,131
11573;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MAYO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);220;4,024
11574;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;JUNIO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);240;3,751
11575;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;JULIO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);202;3,707
11576;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);254;3,549
11577;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;SETIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);201;3,563
11578;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;OCTUBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);221;4,093
11579;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;NOVIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);251;4,159
11580;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;DICIEMBRE;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);178;3,422
11581;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ENERO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);48;501
11582;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;FEBRERO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);39;729
11583;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MARZO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);35;702
11584;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ABRIL;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);51;553
11585;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MAYO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);81;684
11586;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;JUNIO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);90;638
11587;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;JULIO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);83;632
11588;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;AGOSTO;2023;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);;722
